name,institute
Nimisha Ghosh,"Siksha 'O' Anusandhan University, India"
Niranjan R Chougala,"Biluru Gurubasav Mahaswamiji Institute of Technology, Mudhol, India"
Niyati Baliyan,"Indian Institute Of Technology Roorkee, India"
Oishila Bandyopadhyay,"Indian Institute of Engineering Science and Technology Shibpur, India"
P K Saxena,"Defence Research and Development Organisation, Delhi, India"
Pawan Kumar Singh,"Jadavpur University, India"
Peng Xu Huazhong,"University of Science and Technology, China"
Prasenjit Chanak,"Indian Institute of Technology (BHU), India"
Prasun Ghosal,"Indian Institute of Engineering Science and Technology Shibpur, India"
Pratyay Kuila,"National Institute of Technology Sikkim, India"
Pravati Swain,"National Institute of Technology Goa, India"
Priyajit Biswas,"Indian Institute of Engineering Science and Technology Shibpur, India"
Rafał Scherer,"Częstochowa University of Technology, Poland"
Rama Syamala Sreepada,"National Institute of Technology Rourkela, India"
Ranbir Sanasam,"Indian Institute of Technology Guwahati, India"
Ranjan Mondal,"Indian Statistical Institute Kolkata, India"
Ranjit Ghosal,"St Thomas' College of Engineering and Technology, India"
Ratnadip Dey,"Jadavpur University, India"
Ravi Kanth Asv,"Vellore Institute of Technology, India"
Rik Chattodadhyay,"Indian Institute of Engineering Science and Technology Shibpur, India"
Ruchira Naskar,"Indian Institute of Engineering Science and Technology Shibpur, India"
S Umer,"Aliah University, India"
Sabyasachi Dutta,"University of Calgary, Canada"
Sabyasachi Mukherjee,"Indian Institute of Engineering Science and Technology Shibpur, India"
Safique Ahmad,"Indian Institute of Technology Indore, India"
Saibal Pal,"Defence Research and Development Organisation, Delhi, India"
Saikat Chakraborty,"National Institute of Technology Rourkela, India"
Sameerudaya Venkata,"National Institute of Technology Rourkela, India"
Saminathan Ponnusamy,"Indian Institute of Technology Madras, India"
Samit Biswas,"Indian Institute of Engineering Science and Technology Shibpur, India"
Samrat Kumar Dey,"Dhaka International University, Bangladesh"
Sanjay Kumar,"National Institute of Technology Jamshedpur, India"
Sanjoy Saha,"Jadavpur University, India"
Sanjukta Bhowmick,"University of Nebraska, Omaha, United States"
Sankar Kumar Mridha,"Indian Institute of Engineering Science and Technology Shibpur, India"
